col_0,col_1,col_22,label
0.096774,0.066737,0.848705,0.0
0.096774,0.059322,0.857604,0.0
0.096774,0.056144,0.844829,0.0
0.096774,0.128178,0.836862,0.0
0.096774,0.082627,0.827747,0.0
0.096774,0.081568,0.999928,0.0
0.096774,0.070975,0.999928,0.0
0.096774,0.074153,0.999928,0.0
0.107527,0.07839,0.999928,0.0
0.107527,0.055085,0.999928,0.0
0.107527,0.064619,0.999928,0.0
0.107527,0.049788,0.999928,0.0
0.107527,0.057203,0.999928,0.0
0.107527,0.049788,0.999928,0.0
0.107527,0.082627,0.999928,0.0
0.107527,0.172669,0.999928,0.0
0.107527,0.141949,0.999928,0.0
0.107527,0.121822,0.999928,0.0
0.11828,0.090042,0.999928,0.0
0.11828,0.135593,0.999928,0.0
0.11828,0.165254,0.999928,0.0
0.129032,0.134534,0.999928,0.0
0.129032,0.127119,0.999928,0.0
0.129032,0.143008,0.999928,0.0
0.139785,0.106992,0.999928,0.0
0.129032,0.144068,0.999928,0.0
0.150538,0.134534,0.999928,0.0
0.139785,0.138771,0.999928,0.0
0.172043,0.148305,0.999928,0.0
0.16129,0.130297,0.999928,0.0
0.172043,0.127119,0.999928,0.0
0.182796,0.186441,0.999928,0.0
0.182796,0.161017,0.999928,0.0
0.182796,0.172669,0.999928,0.0
0.193548,0.146186,0.999928,0.0
0.193548,0.129237,0.999928,0.0
0.193548,0.098517,0.999928,0.0
0.204301,0.135593,0.999928,0.0
0.193548,0.130297,0.999928,0.0
0.204301,0.205508,0.999928,0.0
0.204301,0.148305,0.999928,0.0
0.236559,0.235169,0.999928,0.0
0.215054,0.151483,0.999928,0.0
0.225806,0.147246,0.999928,0.0
0.215054,0.168432,0.999928,0.0
0.215054,0.181144,0.999928,0.0
0.215054,0.154661,0.999928,0.0
0.225806,0.1875,0.999928,0.0
0.225806,0.167373,0.999928,0.0
0.225806,0.15678,0.999928,0.0
0.236559,0.235169,0.999928,0.0
0.236559,0.195975,0.999928,0.0
0.236559,0.202331,0.999928,0.0
0.236559,0.238347,0.999928,0.0
0.236559,0.199153,0.999928,0.0
0.225806,0.172669,0.999928,0.0
0.236559,0.192797,0.999928,0.0
0.247312,0.240466,0.999928,0.0
0.236559,0.185381,0.999928,0.0
0.225806,0.276483,0.999928,0.0
0.225806,0.240466,0.982272,0.0
0.225806,0.206568,0.971004,0.0
0.225806,0.180085,0.969497,0.0
0.225806,0.157839,0.95342,0.0
0.225806,0.141949,0.954209,0.0
0.236559,0.151483,0.921768,0.0
0.236559,0.159958,0.949185,0.0
0.225806,0.166314,0.933467,0.0
0.225806,0.150424,0.895141,0.0
0.236559,0.092161,0.903251,0.0
0.236559,0.275424,0.89428,0.0
0.236559,0.170551,0.875547,0.0
0.236559,0.207627,0.875404,0.0
0.236559,0.255297,0.877342,0.0
0.247312,0.175847,0.848561,0.0
0.258065,0.207627,0.858609,0.0
0.247312,0.259534,0.854087,0.0
0.236559,0.180085,0.999928,0.0
0.247312,0.157839,0.999928,0.0
0.247312,0.173729,0.999928,0.0
0.236559,0.206568,0.999928,0.0
0.236559,0.167373,0.999928,0.0
0.247312,0.159958,0.999928,0.0
0.236559,0.144068,0.999928,0.0
0.236559,0.113347,0.999928,0.0
0.236559,0.183263,0.999928,0.0
0.236559,0.145127,0.999928,0.0
0.268817,0.309322,0.999928,0.0
0.268817,0.205508,0.999928,0.0
0.258065,0.175847,0.999928,0.0
0.215054,0.213983,0.999928,0.0
0.204301,0.138771,0.999928,0.0
0.204301,0.170551,0.999928,0.0
0.204301,0.238347,0.999928,0.0
0.193548,0.206568,0.999928,0.0
0.204301,0.15572,0.999928,0.0
0.204301,0.192797,0.999928,0.0
0.204301,0.199153,0.999928,0.0
0.204301,0.242585,0.999928,0.0
0.204301,0.216102,0.999928,0.0
0.204301,0.157839,0.999928,0.0
0.204301,0.117585,0.999928,0.0
0.204301,0.09322,0.999928,0.0
0.215054,0.126059,0.999928,0.0
0.215054,0.148305,0.999928,0.0
0.215054,0.248941,0.999928,0.0
0.215054,0.116525,0.999928,0.0
0.215054,0.242585,0.999928,0.0
0.225806,0.195975,0.999928,0.0
0.236559,0.228814,0.999928,0.0
0.236559,0.146186,0.999928,0.0
0.236559,0.172669,0.999928,0.0
0.236559,0.185381,0.999928,0.0
0.225806,0.183263,0.999928,0.0
0.236559,0.137712,0.999928,0.0
0.236559,0.213983,0.999928,0.0
0.236559,0.174788,0.999928,0.0
0.236559,0.216102,0.999928,0.0
0.236559,0.207627,0.999928,0.0
0.236559,0.244703,0.999928,0.0
0.247312,0.199153,0.999928,0.0
0.236559,0.264831,0.999928,0.0
0.27957,0.271186,0.999928,0.0
0.27957,0.208686,0.999928,0.0
0.290323,0.192797,0.999928,0.0
0.290323,0.254237,0.999928,0.0
0.290323,0.286017,0.999928,0.0
0.27957,0.230932,0.999928,0.0
0.258065,0.248941,0.999928,0.0
0.258065,0.170551,0.999928,0.0
0.258065,0.209746,0.999928,0.0
0.258065,0.163136,0.999928,0.0
0.268817,0.260593,0.999928,0.0
0.27957,0.383475,0.999928,0.0
0.258065,0.298729,0.999928,0.0
0.258065,0.266949,0.999928,0.0
0.27957,0.228814,0.999928,0.0
0.290323,0.225636,0.999928,0.0
0.301075,0.23411,0.999928,0.0
0.311828,0.269068,0.999928,0.0
0.311828,0.294492,0.999928,0.0
0.322581,0.262712,0.999928,0.0
0.333333,0.330508,0.987368,0.0
0.344086,0.322034,0.999928,0.0
0.376344,0.315678,0.988014,0.0
0.365591,0.311441,0.989019,0.0
0.365591,0.266949,0.999928,0.0
0.376344,0.338983,0.999928,0.0
0.397849,0.355932,0.999928,0.0
0.408602,0.337924,0.962822,0.0
0.408602,0.293432,0.990526,0.0
0.408602,0.371822,0.953635,0.0
0.430108,0.409958,0.936195,0.0
0.430108,0.401483,0.910357,0.0
0.462366,0.259534,0.909065,0.0
0.537634,0.436441,0.881002,0.0
0.505376,0.429025,0.83636,0.0
0.505376,0.495763,0.999928,0.0
0.494624,0.439619,0.999928,0.0
0.483871,0.436441,0.999928,0.0
0.483871,0.393008,0.999928,0.0
0.483871,0.432203,0.999928,0.0
0.505376,0.369703,0.999928,0.0
0.55914,0.496822,0.999928,0.0
0.505376,0.388771,0.999928,0.0
0.494624,0.4375,0.999928,0.0
0.526882,0.424788,0.999928,0.0
0.548387,0.459746,0.999928,0.0
0.526882,0.40678,0.999928,0.0
0.505376,0.51589,0.999928,0.0
0.494624,0.335805,0.999928,0.0
0.494624,0.617585,0.999928,0.0
0.483871,0.543432,0.999928,0.0
0.494624,0.411017,0.999928,0.0
0.483871,0.323093,0.999928,0.0
0.483871,0.363347,0.999928,0.0
0.483871,0.342161,0.999928,0.0
0.483871,0.389831,0.999928,0.0
0.505376,0.398305,0.999928,0.0
0.483871,0.35911,0.999928,0.0
0.462366,0.358051,0.999928,0.0
